Dia de Dt;Point Order;Polygon Id;Score;dia_mes_ano;Dt;State_City;Lat;Lng
14/05/2020;1;8881999657fffff;41,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,786510472;-35,21138304
14/05/2020;2;8881999657fffff;41,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,783119891;-35,20740812
14/05/2020;3;8881999657fffff;41,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,777983717;-35,20834329
14/05/2020;4;8881999657fffff;41,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,776238024;-35,21325335
14/05/2020;5;8881999657fffff;41,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,779628566;-35,21722835
14/05/2020;6;8881999657fffff;41,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,78476484;-35,21629321
14/05/2020;1;8881999655fffff;53,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,793392116;-35,20553775
14/05/2020;2;8881999655fffff;53,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,790001496;-35,20156292
14/05/2020;3;8881999655fffff;53,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,784865433;-35,20249812
14/05/2020;4;8881999655fffff;53,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,783119891;-35,20740812
14/05/2020;5;8881999655fffff;53,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,786510472;-35,21138304
14/05/2020;6;8881999655fffff;53,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,791646634;-35,21044787
14/05/2020;1;8881999651fffff;47,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,795037264;-35,21442289
14/05/2020;2;8881999651fffff;47,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,791646634;-35,21044787
14/05/2020;3;8881999651fffff;47,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,786510472;-35,21138304
14/05/2020;4;8881999651fffff;47,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,78476484;-35,21629321
14/05/2020;5;8881999651fffff;47,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,788155431;-35,22026832
14/05/2020;6;8881999651fffff;47,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,793291693;-35,21933318
14/05/2020;1;8881999649fffff;42,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,815681192;-35,19688679
14/05/2020;2;8881999649fffff;42,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,812290446;-35,19291201
14/05/2020;3;8881999649fffff;42,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,807154619;-35,19384727
14/05/2020;4;8881999649fffff;42,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,805409438;-35,19875727
14/05/2020;5;8881999649fffff;42,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,808800145;-35,20273213
14/05/2020;6;8881999649fffff;42,20%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,813936072;-35,2017969
14/05/2020;1;8881999643fffff;54,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,800273499;-35,1996925
