;COD_BAIRRO;BAIRRO;MODO;PICO;P001;P002;P003;P004;P005;R001;S001;S002;S003;TMISA;TMISB;TMISM;TMIST;CMASA120;CMASA15;CMASA30;CMASA45;CMASA60;CMASA90;CMASB120;CMASB15;CMASB30;CMASB45;CMASB60;CMASB90;CMASM120;CMASM15;CMASM30;CMASM45;CMASM60;CMASM90;CMAST120;CMAST15;CMAST30;CMAST45;CMAST60;CMAST90
0;240810205023;Pitimbú;bicicleta;1.0;12355.0;7448.0;4760.0;12.0;129.0;1303.9387096774196;2.0;2.0;2.0;633.2669;243.44990000000007;243.44990000000007;243.44990000000007;0.0;0.111;3.1111000000000018;7.400100000000003;23.733300000000007;0.0;0.0;0.9893000000000004;4.128099999999999;9.5743;18.978600000000007;0.0;0.0;0.7605;3.8447999999999998;9.844999999999999;22.7906;0.0;0.0;0.6702999999999998;3.595399999999999;9.397400000000003;21.500000000000004;0.0
1;240810205023;Pitimbú;caminhada;1.0;12355.0;7448.0;4760.0;12.0;129.0;1303.9387096774196;2.0;2.0;2.0;1366.0667000000003;599.3334000000001;599.3334000000001;599.3334000000001;0.0;0.0;0.0;0.2886;0.7994;0.0;0.0;0.1382;0.6597;1.0532000000000001;1.66;0.0;0.0;0.101;0.4811;0.8764000000000001;1.4500999999999995;0.0;0.0;0.0888;0.4240999999999998;0.7733999999999998;1.3074000000000006;0.0
2;240810205038;Planalto;bicicleta;1.0;25803.0;10147.0;15326.0;6.0;315.0;374.5229166666666;3.0;3.0;3.0;1422.7328;338.7669999999998;338.7669999999998;338.7669999999998;0.0;0.0;1.0435;6.600000000000003;23.0667;0.0;0.0;1.8835000000000004;5.797699999999997;11.680699999999996;22.46799999999999;0.0;0.0;1.373300000000001;4.411099999999999;10.426600000000002;24.922800000000006;0.0;0.0;1.2108999999999992;4.218300000000001;10.287300000000007;23.801700000000015;0.0
3;240810205038;Planalto;caminhada;1.0;25803.0;10147.0;15326.0;6.0;315.0;374.5229166666666;3.0;3.0;3.0;0.0;885.0166999999997;885.0166999999997;885.0166999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24439999999999995;1.0956000000000004;1.9689999999999999;2.936800000000001;0.0;0.0;0.17880000000000001;0.7995999999999996;1.434800000000001;2.1169999999999995;0.0;0.0;0.157;0.7041999999999999;1.2661999999999995;1.8962000000000012;0.0
4;240810205026;Ponta Negra;bicicleta;1.0;16276.0;8433.0;7693.0;19.0;127.0;1348.5837209302326;2.0;2.0;2.0;1282.2832999999998;412.7169999999998;412.7169999999998;412.7169999999998;0.0;0.0;1.5777999999999999;4.689300000000002;11.444699999999996;0.0;0.0;0.8303999999999996;2.000600000000001;4.223499999999999;9.7128;0.0;0.0;0.6124999999999999;1.9154000000000013;4.604499999999999;11.767600000000003;0.0;0.0;0.5408999999999998;1.6908000000000005;4.184400000000002;10.807900000000009;0.0
5;240810205026;Ponta Negra;caminhada;1.0;16276.0;8433.0;7693.0;19.0;127.0;1348.5837209302326;2.0;2.0;2.0;281.3333;1025.0665000000001;1025.0665000000001;1025.0665000000001;0.0;0.0;0.0;0.0;0.111;0.0;0.0;0.1911;0.6489999999999997;0.9369999999999995;1.1179000000000003;0.0;0.0;0.1401;0.47340000000000027;0.6898999999999997;0.8684999999999993;0.0;0.0;0.1227;0.41719999999999985;0.6095000000000002;0.7667000000000007;0.0
6;240810205024;Neópolis;bicicleta;1.0;43798.0;26351.0;16968.0;48.0;352.0;1529.1988235294118;6.0;4.0;6.0;963.1832999999998;749.5162000000001;722.7995000000001;722.7995000000001;0.0;3.3101000000000043;9.467000000000013;21.022400000000008;57.30989999999997;0.0;0.0;2.510800000000003;8.62739999999999;20.319000000000024;46.149100000000026;0.0;0.0;2.8931000000000004;9.123800000000001;23.503999999999994;56.28639999999998;0.0;0.0;2.552700000000003;8.36230000000001;21.677699999999994;52.650299999999994;0.0
7;240810205024;Neópolis;caminhada;1.0;43798.0;26351.0;16968.0;48.0;352.0;1529.1988235294118;6.0;4.0;6.0;2523.3668000000002;2018.0837;1886.1002999999998;1886.1002999999998;0.0;0.333;1.532;3.5765000000000042;6.0217000000000045;0.0;0.0;0.37139999999999995;1.2331000000000005;2.7026000000000003;4.649400000000005;0.0;0.0;0.37329999999999985;1.5052000000000005;3.187600000000001;5.318699999999994;0.0;0.0;0.3274999999999998;1.3271999999999997;2.813000000000001;4.738000000000004;0.0
8;240810205025;Capim Macio;bicicleta;1.0;11516.0;7439.0;3659.0;0.0;129.0;1945.3583333333333;2.0;1.0;2.0;228.11669999999998;257.83320000000003;212.04999999999995;212.04999999999995;0.0;1.2222;4.089200000000001;11.155299999999997;19.999200000000002;0.0;0.0;0.6920999999999998;2.8622000000000005;8.947200000000002;15.414499999999999;0.0;0.0;0.7523;3.782799999999999;11.155200000000004;18.875699999999995;0.0;0.0;0.6708000000000001;3.492900000000001;10.321999999999997;17.774300000000007;0.0
9;240810205025;Capim Macio;caminhada;1.0;11516.0;7439.0;3659.0;0.0;129.0;1945.3583333333333;2.0;1.0;2.0;522.7499;641.2334999999999;513.6833999999999;513.6833999999999;0.0;0.4218;0.8437;1.3113;2.1113000000000004;0.0;0.0;0.08489999999999999;0.3618999999999999;0.7984999999999999;1.3295999999999997;0.0;0.0;0.1631;0.4425999999999999;0.9074;1.5972000000000006;0.0;0.0;0.14350000000000002;0.38959999999999995;0.8146000000000001;1.5063000000000006;0.0
