date,city,last_available_confirmed,Gini_Index_2010,access_to_water_and_basic_sanitatio_per_cent,MHDI_income,MHDI_education,aging_rate,extremely_poor_per_cent
2020-05-28,Mossoró,907,0.52,4.16,0.6940000000000001,0.6629999999999999,6.33,3.72
2020-05-28,Natal,2221,0.61,0.98,0.768,0.6940000000000001,7.02,2.92
2020-05-28,Nísia Floresta,32,0.53,8.47,0.601,0.518,6.21,14.57
2020-05-28,Nova Cruz,27,0.52,20.42,0.589,0.537,8.82,18.69
2020-05-28,Olho D Água Do Borges,1,0.48,27.06,0.5770000000000001,0.48200000000000004,11.97,16.7
2020-05-28,Ouro Branco,1,0.43,4.2,0.61,0.5579999999999999,11.79,6.7
2020-05-28,Paraná,2,0.49,6.03,0.532,0.496,10.22,26.74
2020-05-28,Paraú,3,0.46,25.31,0.5820000000000001,0.522,10.6,13.79
2020-05-28,Parazinho,2,0.52,36.06,0.5429999999999999,0.424,8.19,23.2
2020-05-28,Parelhas,5,0.45,4.15,0.625,0.617,9.65,5.72
2020-05-28,Parnamirim,491,0.55,0.73,0.75,0.726,4.67,2.68
2020-05-28,Passa E Fica,2,0.51,15.25,0.565,0.516,9.68,19.59
2020-05-28,Patu,2,0.52,25.02,0.599,0.513,9.57,14.62
2020-05-28,Pau Dos Ferros,19,0.54,1.65,0.6659999999999999,0.584,8.49,6.13
2020-05-28,Pedra Grande,7,0.48,45.08,0.526,0.43,6.59,24.72
2020-05-28,Pedro Avelino,3,0.52,25.25,0.5770000000000001,0.435,10.29,17.93
2020-05-28,Pedro Velho,3,0.51,14.72,0.562,0.442,9.08,19.74
2020-05-28,Pendências,24,0.55,3.17,0.633,0.526,8.22,10.67
2020-05-28,Pilões,4,0.47,4.27,0.5660000000000001,0.527,9.7,18.18
2020-05-28,Poço Branco,7,0.56,21.7,0.562,0.47100000000000003,7.38,24.91
2020-05-28,Portalegre,3,0.52,35.11,0.581,0.547,10.64,21.33
2020-05-28,Porto Do Mangue,11,0.55,40.29,0.5579999999999999,0.504,5.87,24.12
2020-05-28,Pureza,2,0.53,23.02,0.516,0.456,7.74,29.88
2020-05-28,Riacho Da Cruz,6,0.47,14.16,0.545,0.48700000000000004,9.61,19.81
2020-05-28,Riachuelo,4,0.54,12.72,0.561,0.48100000000000004,8.45,21.63
2020-05-28,Rio Do Fogo,9,0.52,4.34,0.546,0.457,6.31,23.47
2020-05-28,Rodolfo Fernandes,1,0.46,9.02,0.561,0.519,9.03,16.45
2020-05-28,Ruy Barbosa,3,0.51,39.2,0.5479999999999999,0.517,9.85,24.09
2020-05-28,Santa Cruz,35,0.52,9.9,0.597,0.564,8.27,15.6
2020-05-28,Santa Maria,4,0.45,38.57,0.5539999999999999,0.47700000000000004,8.19,15.45
2020-05-28,Santana Do Matos,9,0.55,17.29,0.5589999999999999,0.48200000000000004,10.62,27.13
2020-05-28,Santana Do Seridó,1,0.41,5.29,0.595,0.58,9.74,8.16
2020-05-28,Santo Antônio,21,0.57,20.88,0.595,0.512,8.98,20.39
2020-05-28,São Bento Do Norte,1,0.54,13.32,0.541,0.415,8.24,23.11
2020-05-28,São Bento Do Trairí,2,0.49,12.59,0.526,0.525,8.71,24.21
2020-05-28,São Fernando,1,0.44,15.6,0.591,0.508,9.35,11.41
2020-05-28,São Gonçalo Do Amarante,182,0.44,5.01,0.619,0.564,5.28,6.05
2020-05-28,São João Do Sabugi,1,0.47,11.75,0.62,0.581,12.04,6.19
2020-05-28,São José De Mipibu,60,0.55,15.34,0.599,0.508,7.23,17.32
2020-05-28,São Miguel,18,0.53,18.57,0.574,0.518,9.32,19.87
